overview,genres
"Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.",['Western']
"The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who... Read all",['Drama'|'Mystery']
"A cruise for the super-rich sinks thus leaving survivors, including a fashion model celebrity couple, trapped on an island.",['Comedy'|'Drama']
R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,['Animation'|'Adventure'|'Comedy']
A mute boy is trapped in his apartment with a sinister monster when he makes a wish to fulfill his heart's greatest desire.,['Horror'|'Thriller']
"Follows hacker Connor, his best friend Avi and a cunning librarian who find themselves over their heads when forced to compete in a sophisticated dark web secret society's global recruitment game.",['Action'|'Comedy'|'Thriller']
The story of a young couple haunted by mysterious forces and there looks to be a heavy possession element as well. The calm life of Suat and Nurcan is broken when they begin to be scared by supernatural creatures.,['Crime'|'Fantasy'|'Horror']
"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",['Comedy'|'Drama']
none,['Action'|'Adventure'|'Comedy']
none,['Adventure'|'Fantasy']
"When spoiled rich girl Sasha Li blows through most of her trust fund, she is cut off by her father and forced to go back to China and work for the family toy business.",['Comedy'|'Drama']
A sorority girl finds her life falling apart after she develops romantic feelings for a mentally-challenged man.,['Comedy'|'Drama'|'Romance']
"Sir Francis Hamilton, ambassador of King Charles II, sails from England to Jamaica where he has to sign a peace treaty with France. On the way to the Carribean his ship is attacked by a band of pirates, headed by the dreadfully renowned George Rackman. As soon as they discover th... Read all",['Adventure'|'History'|'Romance']
A man discovers that his hallucinations are actually visions from past lives.,['Action'|'Sci-Fi'|'Thriller']
The Glorious Pictures or Batman: Knightfall is not affiliated with WB or DC in any manner. Batman: Knightfall is a Realistic CGI non-commercial fan-film being made by The Glorious Pictures only. It'll be officially released on YouTube when the production is done. It's entirely fr... Read all,['Action'|'Crime'|'Thriller']
"A reboot of the famous Swedish saga ""Jönssonligan"" (""The Jönsson Gang"")",['Comedy'|'Crime']
"In the aftermath of a tragedy a woman, Magda, reacts with a surge of newfound life that engulfs her circle of family and friends.",['Drama']
"In order to cash-in a life insurance policy, a failing business owner asks one of his employees, who has financial woes of his own, to aid him in disguising his suicide into a robbery-murder.",['Crime'|'Drama'|'Film-Noir']
"Three young thugs rob a farmhouse, kill the owner and take his stenographer hostage but the woman's estranged husband, a police detective, starts investigating her disappearance.",['Crime'|'Drama'|'Film-Noir']
"After the shocking murder of his older brother, a New York history student finds himself inexplicably hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.",['Crime'|'Drama'|'Thriller']
"The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 14 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",['Biography'|'Drama'|'History']
"Follows Holiday during her career as she is targeted by the Federal Department of Narcotics with an undercover sting operation led by black Federal Agent Jimmy Fletcher, with whom she has a tumultuous affair.",['Biography'|'Drama'|'Music']
"Shocked by the death of her spouse, a scheming widow hatches a bold plan to get her hands on the inheritance, unaware that she is targeted by an axe-wielding murderer who lurks in the family's estate. What mystery shrouds the noble house?",['Horror'|'Thriller']
"Set in the fields of Devon and the WW1 battlefields of Flanders, two brothers fall for the same girl while contending with the pressures of their feudal family life, the war, and the price of courage and cowardice.",['Drama'|'War']
"A French count is in England to marry the princess. She's killed. A wizard helps him time travel back before the murder - but ends up in Chicago, April 2000. A descendant helps him. Can he return to the 1100s?",['Adventure'|'Comedy'|'Fantasy']
A pair of miniskirted birds who travel to a remote castle in order to land a contract in the modeling agency of the mysterious lesbian Sybil Waite (In HD).,['Horror']
"An ancient and sinister cult, responsible for the disappearance of many young adults, is tracked and brought down by the twin sister of their latest victim.",['Horror'|'Western']
"A bizarre series of murders begins in Los Angeles, where people start going bald and then become homicidal maniacs. But could the blame rest on a particularly dangerous form of LSD called Blue Sunshine the murderers took ten years before?",['Horror'|'Thriller']
"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",['Action'|'Adventure'|'Fantasy']
"A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.",['Animation'|'Adventure'|'Comedy']
A young man from the countryside uses his skills in silat martial arts to survive the slave trade.,['Action'|'Drama']
"An organic blend of action, suspense and gut-busting, hilarious comedy occur when two ""good-natured"" friends inadvertently snatch a bag that a cop needs to repay an overwhelming debt to the Irish Mob. What the duo find is that they are now knee-deep in a deadly web that not only ... Read all",['Action'|'Comedy'|'Drama']
"It's not 1985 anymore...it's 1986, and Chuck Steel is 'the best God damn cop on the force' according to his long suffering boss, Captain Jack Schitt. But even this maverick, renegade, loose cannon, lone wolf, cop on the edge, who doesn't play by the rules has his work cut out whe... Read all",['Animation'|'Action'|'Comedy']
A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,['Crime'|'Drama'|'Thriller']
"USD400,000,000 is stolen and a drug lord wants it back. The killed thief's brother is broken out of prison by a DEA bounty hunter to help find the money boat. The body count continues in Latin America.",['Action'|'Comedy'|'Crime']
"In French Equatorial Africa, an idealist ecologist starts a campaign of public awareness to help save the African elephants from extinction.",['Adventure'|'Drama']
"Rebecca Mathis is a sex therapist. One of her patients is found dead. At first it is presumed he died of a heart attack, but it was murder. The detective investigating the murder falls for Rebecca... is he now in danger?",['Drama'|'Mystery'|'Thriller']
"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",['Action'|'Crime'|'Drama']
A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,['Comedy'|'Drama'|'Romance']
"When the Russian Premier is taken hostage at a rock concert in Moscow, it's up to a drummer, an ex-biker, to save him.",['Action'|'Drama'|'Thriller']
"An accident will force 'Vivien' and Royan to come to a stop and reclaim their lives, one minute at the time, and finally start living in a present that perhaps will prove to be more exciting than any predefined.",['Drama'|'Romance']
"Vicky Kaushal plays Aurangzeb and Ranveer plays Dara, Aurangzeb's elder brother. It's the story about the enmity between brothers caused for the succession of the Throne.",['Action'|'Drama'|'History']
A group of medical students devise a deadly game: to see which one of them can commit the perfect murder.,['Crime'|'Thriller']
"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",['Biography'|'Crime'|'Drama']
"In an afterlife way station resembling a major city, the lives of the recently-deceased are examined in a court-like setting.",['Comedy'|'Drama'|'Fantasy']
A group of superstar influencers are drawn to a reclusive billionaire's mansion only to find themselves trapped in the lair of an evil vampire. The only way out is to be saved by a famous online gamer and an old school vampire hunter.,['Comedy'|'Fantasy'|'Horror']
A group of young friends from the Bronx fight to save their neighborhood from gentrification...and vampires.,['Comedy'|'Horror']
"An evil sorcerer teams up with a mad scientist to unleash Dinosaur Hell on Earth, and only Daisy Derkins and a hero from the future can stop them.",['Action']
"Swarthy Paul Yeager arrives in New Orleans, and promptly gets a job bartending at La Cage du Verre, a show bar where his former girlfriend Jacqueline is a dancer and the moll of its sadistic owner, Marko. He and Jacqueline smuggle diamonds and drugs, with the local police detecti... Read all",['Drama'|'Thriller']
An adventurer (Hamilton) decides to go in search of the lost city in the Amazon jungle. A motley crew of other people with reasons of their own decide to join him for the wealth of the lost city. But to their horror they find out that they have bit off more than they can chew. Wh... Read all,['Action'|'Adventure'|'Drama']
"A woman inexplicably finds herself cut off from all human contact when an invisible, unyielding wall suddenly surrounds the countryside. Accompanied by her loyal dog Lynx, she becomes immersed in a world untouched by civilization and ruled by the laws of nature.",['Drama'|'Mystery'|'Sci-Fi']
"In the future, a cop goes after a gang of slave traders.",['Action'|'Sci-Fi']
"Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.",['Drama']
none,['Action'|'Sci-Fi']
"Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they ultimately have to contend with a bizarre community of campers.",['Adventure'|'Comedy'|'Family']
"The exploits of 1910's bounty hunter Thomasine and bandit Bushrod, who, after rekindling their old romance, take to robbing banks in order to survive, stealing from rich whites and sharing their loot with the poor on the harsh frontier.",['Action'|'Crime'|'Romance']
A grieving doctor is being contacted by his deceased wife through his patients' near death experiences.,['Drama'|'Fantasy'|'Mystery']
"Police Lieut. Candella, longtime friend of the Rome family, walks a tightrope in the case of cop-killer Martin Rome.",['Crime'|'Drama'|'Film-Noir']
Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.,['Adventure'|'Comedy'|'Sci-Fi']
"Prominent lawyer shoots unfaithful girlfriend during quarrel, has to establish alibi.",['Crime'|'Drama']
"A madman who believes he's a doctor comes to the town where his crazy father was killed, and soon begins murdering people and becoming infatuated with a teenage girl who has a heart condition.",['Comedy'|'Drama'|'Horror']
"A loving father finds a clown suit for his son's birthday party, only to realize that it's cursed.",['Horror'|'Thriller']
The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,['Drama'|'Thriller'|'War']
"An aging cowboy realizes that the West he knew and loved will soon be no more--and that there will be no room for him, either.",['Western']
"Umut is a child who lives with his grandfather Ahmet and forgot to dream. One day, a misfortune brings him to the people of a fantastic and colorful world he never knew. The name of this magical world is Gamonya.",['Adventure'|'Family'|'Fantasy']
"On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",['Action'|'Drama'|'Thriller']
"Set in the near future, private detective David Carmichael is hired by Marlon Veidt, an eccentric businessman, to track down his missing daughter. David teams up with Jane, a highly advanced A.I. to solve the mystery.",['Sci-Fi'|'Thriller']
"An art student taps into a rich source of creative inspiration after the accidental slaughter of her rapist. An unlikely vigilante emerges, set out to avenge college girls whose attackers walked free.",['Drama'|'Horror'|'Thriller']
A recently discharged Major finds himself commanding a group of mismatched Cadets.,['Adventure'|'Comedy'|'Family']
"When a group of marine biologists crash land in the Bermuda Triangle, they realize they have stumbled into the lost city of Atlantis.",['Action'|'Fantasy'|'Horror']
Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.,['Adventure'|'Drama'|'Thriller']
"Part of 12 Western Feature Films which will be produced in 12 Months during 2020: When an outlaw is captured and scheduled to hang, the wife of the local deputy makes a decision that will forever change her life. Mabel is in love with the arrested man. Will she remain loyal to he... Read all",['Western']
"Using equipment from a banned 1950s test, a group of students conduct a series of psychological experiments into telepathy, with horrorific consequences.",['Horror'|'Thriller']
"A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",['Comedy'|'Drama'|'Romance']
"Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps.",['Action'|'Horror'|'Thriller']
"While drinking at their local pub, three social outcasts attempt to navigate a time-travel conundrum.",['Comedy'|'Sci-Fi']
He's looking for a way out of the city. But his only escape is through a woman looking for revenge.,['Crime'|'Thriller']
A female bodyguard is hired to protect an heiress on the run from assassins.,['Action'|'Drama'|'Thriller']
A man afflicted with clairvoyance tries to change his fate when a series of events leads to a vision of his own imminent murder.,['Sci-Fi'|'Thriller']
A gritty love story about a charismatic but down-on-his-luck troubadour living out of cheap motels and making bad decisions.,['Drama'|'Music'|'Romance']
"After getting dumped by his slutty girlfriend, Caleb falls in love with Gwen. However, thanks to Caleb's roommate, Gwen thinks he's gay and sets him up with her roommate, Marc.",['Comedy'|'Drama'|'Romance']
"A dinner party unravels when a tight group of friends agree to leave their phones unlocked on the table, exposing juicy interactions and dark secrets.",['Comedy'|'Drama']
DI Tom Thorne hunts for a psychopath who may have formed a depraved partnership.,['Crime'|'Drama'|'Mystery']
"A man becomes destructively obsessed with killing a dangerous rat, which has taken residence in his recently renovated house.",['Horror'|'Thriller']
A tough group of men ward off ruthless bandits and brutal obstacles as they travel across a treacherous landscape to deliver a mysterious package.,['Action'|'Comedy']
"A seductive lesbian ensnares a young investment banker into marriage. Formerly a prostitute, she knows all to well the weaknesses of his colleagues and sets about sweeping them clean of their corrupt fortune to begin a new life with her true love.",['Crime'|'Thriller']
"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.",['Comedy'|'Drama']
"A loyal worker, Sundaram takes orders from his boss Ekamabaram, even when Ekamabaram asks Sundaram to smuggle a valuable idol in his car.",['Crime'|'Drama'|'Thriller']
"In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen.",['Comedy'|'Drama'|'Music']
A man is torn between tackling a sinister crime syndicate or turning a blind eye to the suffering it creates.,['Adventure'|'Crime'|'Drama']
"A WWII veteran escapes his care home in Northern Ireland and embarks on an arduous but inspirational journey to France to attend the 75th anniversary of the D-Day landings, finding the courage to face the ghosts of his past.",['Drama'|'Thriller']
"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",['Drama'|'Horror'|'Romance']
A notorious woman rides a train through a dangerous situation with a British captain she loved.,['Adventure'|'Drama'|'Film-Noir']
A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,['Action'|'Crime'|'Drama']
"Hot action and lust in the steamy tropical jungle, as heroines break out of a women's prison and start a local revolution.",['Action'|'Adventure'|'Drama']
"A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska.",['Biography'|'Crime'|'Drama']
A young Celtic warrior and a hermit wizard must unite to defeat an evil druid.,['Adventure'|'Family'|'Fantasy']
Reformed parolee Steve Lacey is caught in the middle when a wounded former cellmate seeks him out for shelter.,['Crime'|'Drama'|'Film-Noir']
"José Manuel Gómez Perales alias ""El Jaro"" lives with his band, also teenagers and their girlfriends. One day he meets Mercedes, a prostitute who want him away from the bad way. Then appears Toñi, a drug addict from which he falls in love",['Crime'|'Drama'|'Thriller']
"Seventeen-year-old Anne just fell in love with Sasha, the most popular girl at her LA public high school. But when Anne tells her best friend Clifton - who has always harbored a secret crush - he does his best to get in the way.",['Drama'|'Romance']
"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",['Horror'|'Mystery'|'Thriller']
"A security specialist is forced into robbing the bank that he's protecting, as a bid to pay off his family's ransom.",['Action'|'Crime'|'Thriller']
"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",['Drama']
"Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and indian attack. To complicate matters further, a love triangle develops, as pretty Molly must ch... Read all",['Adventure'|'Romance'|'Western']
A childless couple discovers a mysterious newborn on their farm in Iceland.,['Drama'|'Fantasy'|'Horror']
"Grandma is babysitting her two grandkids. The girl wants to go out, but grandma asks them to hear a story first. The kids accept if they can change aspects of the story such as replacing the wolf with a werewolf. Is there a catch?",['Action'|'Adventure'|'Family']
"A prison warden, with a nasty habit of killing escapees, has teen twin daughters claiming to be pregnant. Their boyfriends marry them. The husbands' only way out of hell is to rob the money train.",['Comedy'|'Crime']
A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.,['Drama'|'Romance']
"An outlaw committing a string of robberies and murders manages to blame the crimes on Apaches, bringing about an Indian war.",['Action'|'Western']
"Set in post WW2 Venice Italy, American Army Col. Richard Cantwell, haunted by the war, is a bona fide hero who faces news of his illness with stoic disregard. Determined to spend a weekend in quiet solitude, he commandeers a military driver to facilitate a visit to his old haunts... Read all",['Drama']
"Asif comes to City in search of Captain Khan, who, he learns, paid a price for choosing to be a gangster. Unperturbed, he continues in his search. Does he find Captain Khan and what's the mystery behind his disappearance?",['Action'|'Drama']
C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.,['Action'|'Comedy'|'Romance']
"12-year-old Mitya Privalov dreams of becoming a superhero comics artist. But his robotics engineer parents want him to follow in their footsteps. Mitya never would have imagined that he'd find support and understanding in the rescue robot created by his parents-A-112, or Robo for... Read all",['Adventure'|'Family'|'Sci-Fi']
"As the Japanese surrender at the end of World War II, General Fellers is tasked with deciding if Emperor Hirohito will be hanged as a war criminal. Influencing his ruling is his quest to find Aya, an exchange student he met years earlier in the U.S.",['Drama'|'History'|'War']
"A father and son help each other through growing up, romance, tragedy, and adventure.",['Action'|'Drama'|'Musical']
A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,['Action'|'Drama']
Wallace Ritchie is mistaken for a spy and must stop a plot to assassinate international leaders at a banquet.,['Comedy'|'Crime'|'Drama']
An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.,['Adventure'|'Music'|'Sci-Fi']
"A group of young boys befriend a prostitute named, V.",['Comedy'|'Romance']
"Simran, who relocates to Seoul, is distraught when Daya, a gangster, re-enters her life. She has to make a choice between him and her lover Akash, who is a singer at an Indian restaurant.",['Action'|'Crime'|'Drama']
A squad of unsuspecting cops go through a trapdoor to Hell when they stumble upon a Black Mass in an abandoned building.,['Crime'|'Drama'|'Fantasy']
"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",['Action'|'Adventure'|'Fantasy']
"Three best friends spy on their families, sneak into each other's house, and organize elaborate pranks.",['Action'|'Adventure'|'Comedy']
Jane and Roxy Ryan are teenage Long Island twins who find themselves on numerous misadventures when they trek into Manhattan on a school day.,['Comedy'|'Crime'|'Family']
"The affair between King Edward VIII and American divorcée Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.",['Drama'|'History'|'Romance']
"Charles 'Pittsburgh' Markham rides roughshod over his friends, his lovers, and his ideals in his trek toward financial success in the Pittsburgh steel industry, only to find himself deserted and lonely at the top. When his crash comes, he finds that fate has dealt him a second ch... Read all",['Action'|'Drama'|'Romance']
A teenage runaway and a widowed father each fight to take matters into their own hands to redeem their dark past.,['Crime'|'Drama']
"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",['Action'|'Crime'|'Sci-Fi']
"Aided by an ex-military officer, a young woman becomes an unwitting fugitive after discovering that her son's catatonic state may be at the heart of a global conspiracy.",['Action'|'Adventure'|'Crime']
Sasha and Paige's co-dependent friendship is tested as Paige gets serious with a guy for the first time.,['Comedy'|'Drama'|'Romance']
"Dennis Carter (Warren Douglas), the head of a detective agency, and his secretary, Henrietta Rankin (Lynne Roberts), get involved in the murder of a scandal-peddling, blackmailing radio commentator, and evidence point toward Henrietta. Dennis sets out to clear her and also find t... Read all",['Action'|'Adventure'|'Crime']
"Three stories revolve around the love lives of an adulterous woman, a checkout girl and a single mother.",['Drama'|'Romance']
"A hunter gets bitten by a vampire and runs into a shed to avoid sunlight. Stan, a 17 y.o. on probation, and his supervisor grandpa live next to it. Stan's bullied high school buddy can use a monster.",['Drama'|'Horror']
"An ex-soldier named Ryan Reeve is taken captive by the ""Anomaly"" organization where he learns that he only has 9:47 minutes/seconds to find out why they want him dead.",['Action'|'Mystery'|'Sci-Fi']
A man is looking for a singer he had heard on cassette. He finds much more.,['Comedy'|'Drama'|'Music']
"In colonial America, wanderer Deerslayer gets involved with Tom Hutter, a bigoted trapper, and his two contrasting daughters.",['Adventure'|'War'|'Western']
"A fictionalized account of the first major successful sexual harassment case in the United States, Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",['Drama']
"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.",['Comedy'|'Drama']
"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.",['Comedy'|'Drama'|'Fantasy']
"A massive influx of glacial melting triggers a new ice age in the Northern Hemisphere, forcing a family to make their way across the ice-covered landscape before they are frozen out for good.",['Action'|'Adventure'|'Drama']
"What happened to the women at 10 Rillington Place? The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans.",['Biography'|'Crime'|'Drama']
"The film deals with the chapter of Gyozo Szabo's book of the same title, which is about the actor's toughest period, the drug crash that lasts for years, as Gyozo falls on the atoms of his life, and then enters the withdrawal cure, where he is treated by Dr. Csernus. Because of h... Read all",['Biography'|'Drama']
"A high school student and his friend find a strange, orb-like piece of equipment to use as a science project, but must stop it when it begins to threaten mankind.",['Action'|'Adventure'|'Comedy']
"Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber.",['Action'|'Crime'|'Drama']
"Charlie Thorpe, a security systems expert, gets caught during a robbery. When he is released from jail he is hired by a bank owner to design a fool proof system during the refurbishing of a bank.",['Action'|'Drama'|'Thriller']
"Fictional account of real-life mystery writer Dashiell Hammett, and his involvement in the investigation of a beautiful Chinese cabaret actress' mysterious disappearance in San Francisco.",['Crime'|'Drama'|'Mystery']
The film is an edgy black comedy set in swinging London in the late 60s. The All Saints girls play three street wise sisters who head 'up West' to rob and generally cause trouble.,['Comedy'|'Crime'|'Romance']
"José Luis Torrente, a former policeman fights against the oriental mafia in Madrid.",['Comedy'|'Crime']
"On the first day of high school, two friends split before reconnecting three years later to sabotage prom.",['Comedy'|'Drama']
"Moth is freed on parole after spending time in prison on wrongful conviction of murder. Jailed shortly before the Bulgarian communist coup of 1944, he now finds himself in a new and alien world - the totalitarian Sofia of the 60s. His first night of freedom draws the map of a dia... Read all",['Crime'|'Drama'|'Mystery']
A man must go to extreme lengths to discover what happened to his kidnapped wife and daughter.,['Crime'|'Thriller']
"A retired cop blackmails ex burglar Bernice into paying him $20,000 - thus burgling. Paid to get a dentist's jewelry back from her ex's apartment, someone murders the ex and Bernice is a suspect. She investigates.",['Comedy'|'Crime']
"When Kate and Abby are mistaken for famous art thieves, their fun night out quickly goes from good to bad.",['Adventure'|'Comedy'|'Crime']
"After an accident that killed both of Tara's parents, Tara now only has a younger brother named Gian as a member of her family. However, the accident traumatized Gian, so Gian chose to end his life.",['Horror']
"Frank Capua is a rising star on the race circuit who dreams of winning the big one--the Indianapolis 500. But to get there he runs the risk of losing his wife Elora to his rival, Luther Erding, and strains the relationship with his stepson.",['Action'|'Drama'|'Sport']
Biopic of Johnny Sun whose father was Mexican and mother was of Irish descendant decides to go straight after a life of crime. After finding out there was no other way to keep his family alive he chooses to go back to the other side.,['Action']
Stock car racer Dave Owens plays into the hands of whiskey runners by agreeing to drive in a cross-country road race. He is assisted by Jane Harris and Sonny Leander Fox. Soon Dave and Sonny begin a friendly rivalry for Jane. Track action filmed at the Ascot and Saugus Raceways n... Read all,['Action'|'Comedy'|'Drama']
A woman is tormented and sexually molested by an invisible demon.,['Drama'|'Horror']
A former L.A. drug dealer has moved to Houston to make a new life for himself as a married architect. Everything falls apart when he is suddenly visited by one of his former cohorts who comes carrying heroin.,['Action'|'Comedy'|'Crime']
"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie.",['Action'|'Comedy'|'Crime']
"It is the story of an archaeologist, who has set out to check out whether the Ram Setu bridge is a myth or a reality.",['Action'|'Adventure']
"What happens when an epidemic breaks out, but you're kept in the dark? Anything can happen. Slowly the residents realize that they will all die unless they come together.",['Horror'|'Sci-Fi'|'Thriller']
"Seeking refuge on an island in Upstate New York, a married couple's final attempt to salvage their failing relationship takes a turn for the worse when the husband begins to regress emotionally, mentally, and physically.",['Drama'|'Horror'|'Sci-Fi']
"McGriff and Albaby are probably doing the worst law enforcement job in the world - they are plain clothes U.S. military policemen on duty in war-time Saigon. However, their job becomes even harder when they start investigating the serial killings of local prostitutes. Their prime... Read all",['Action'|'Drama'|'Thriller']
"A day before his engagement, a man is threatened by a local goon over a debt which he owes him.",['Thriller']
